rating;title;response
2026-08-07;\n90 min work session 1: finish calculus final exam\n60 min work session 2: finish most of counselor recommendation questionnaire\nfinish packing most items for move-in\nCreated a plan to achieve most gen ed credits before graduation\n\n2026-08-08;\n\n30 min work session 1: Learn about node file system functions, writing and reading files.\nUntimed work session 2, ~30 min: Create script to append obsidian .md text to csv file\n\n

rating;title;response
1;Mark;Otto;@mdo
2;Jacob;Thornton;@fat
3;Larry;the Bird;@twitter

1;Mark;Otto;@mdo
2;Jacob;Thornton;@fat
3;Larry;the Bird;@twitter
1;Mark;Otto;@mdo
2;Jacob;Thornton;@fat
3;Larry;the Bird;@twitter
